"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",-11.057,0.013,-850.96,0
"hw_ind_2d1",0.086,0.004,20.952,0
"dow2",0.423,0.008,53.507,0
"dow3",0.388,0.008,49.16,0
"dow4",0.333,0.008,41.517,0
"dow5",0.319,0.008,39.369,0
"dow6",0.343,0.008,42.162,0
"dow7",0.053,0.009,6.038,0
"year2001",0.056,0.01,5.712,0
"year2002",0.101,0.01,10.364,0
"year2003",-0.017,0.01,-1.794,0.073
"year2004",-0.091,0.01,-8.905,0
"year2005",-0.132,0.011,-12.258,0
"year2006",-0.229,0.012,-19.694,0
"year2007",-0.24,0.011,-21.103,0
"year2008",-0.295,0.012,-24.593,0
"year2009",-0.321,0.012,-27.51,0
"year2010",-0.35,0.011,-30.85,0
"year2011",-0.466,0.012,-40.151,0
"year2012",-0.569,0.012,-48.877,0
"year2013",-0.699,0.012,-59.929,0
"year2014",-0.767,0.012,-65.183,0
"year2015",-0.751,0.011,-65.458,0
"year2016",-0.861,0.012,-71.959,0
