"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.091,0.006,15,0
"year2001",0.075,0.014,5.352,0
"year2002",0.079,0.014,5.494,0
"year2003",-0.028,0.015,-1.934,0.053
"year2004",-0.096,0.017,-5.78,0
"year2005",-0.146,0.016,-8.898,0
"year2006",-0.19,0.016,-11.567,0
"year2007",-0.262,0.016,-16.145,0
"year2008",-0.305,0.018,-17.305,0
"year2009",-0.336,0.016,-20.952,0
"year2010",-0.374,0.015,-25.418,0
"year2011",-0.468,0.014,-32.517,0
"year2012",-0.581,0.015,-39.512,0
"year2013",-0.693,0.015,-47.311,0
"year2014",-0.799,0.015,-54.292,0
"year2015",-0.767,0.015,-51.736,0
"year2016",-0.852,0.016,-53.708,0
"dow2",0.415,0.011,38.652,0
"dow3",0.38,0.011,35.37,0
"dow4",0.333,0.011,30.469,0
"dow5",0.308,0.011,27.893,0
"dow6",0.344,0.011,31.081,0
"dow7",0.055,0.012,4.619,0
