"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.081,0.014,5.979,0
"year2001",0.039,0.013,2.932,0.003
"year2002",0.127,0.013,9.616,0
"year2003",-0.018,0.013,-1.442,0.149
"year2004",-0.089,0.014,-6.398,0
"year2005",-0.129,0.016,-8.172,0
"year2006",-0.271,0.019,-14.214,0
"year2007",-0.228,0.017,-13.206,0
"year2008",-0.293,0.019,-15.535,0
"year2009",-0.333,0.017,-19.174,0
"year2010",-0.351,0.016,-22.375,0
"year2011",-0.506,0.017,-30.596,0
"year2012",-0.599,0.016,-37.175,0
"year2013",-0.721,0.016,-46.185,0
"year2014",-0.759,0.015,-50.29,0
"year2015",-0.735,0.015,-50.128,0
"year2016",-0.854,0.015,-56.524,0
"hw_ind_2d1:year2001",0.04,0.019,2.101,0.036
"hw_ind_2d1:year2002",-0.048,0.019,-2.523,0.012
"hw_ind_2d1:year2003",0.009,0.019,0.474,0.635
"hw_ind_2d1:year2004",0.004,0.02,0.183,0.855
"hw_ind_2d1:year2005",-0.004,0.021,-0.187,0.851
"hw_ind_2d1:year2006",0.068,0.024,2.838,0.005
"hw_ind_2d1:year2007",0.003,0.023,0.137,0.891
"hw_ind_2d1:year2008",-0.003,0.024,-0.136,0.892
"hw_ind_2d1:year2009",0.019,0.023,0.804,0.421
"hw_ind_2d1:year2010",0.012,0.022,0.561,0.575
"hw_ind_2d1:year2011",0.073,0.023,3.235,0.001
"hw_ind_2d1:year2012",0.063,0.023,2.794,0.005
"hw_ind_2d1:year2013",0.064,0.023,2.819,0.005
"hw_ind_2d1:year2014",-0.007,0.023,-0.316,0.752
"hw_ind_2d1:year2015",-0.032,0.022,-1.427,0.154
"hw_ind_2d1:year2016",-0.018,0.024,-0.772,0.44
