"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.214,0.034,6.262,0
"statecodeAR",0,NA,NA,NA
"statecodeAZ",0,NA,NA,NA
"statecodeCA",0,NA,NA,NA
"statecodeCO",0,NA,NA,NA
"statecodeCT",0,NA,NA,NA
"statecodeDC",0,NA,NA,NA
"statecodeDE",0,NA,NA,NA
"statecodeFL",0,NA,NA,NA
"statecodeGA",0,NA,NA,NA
"statecodeIA",0,NA,NA,NA
"statecodeID",0,NA,NA,NA
"statecodeIL",0,NA,NA,NA
"statecodeIN",0,NA,NA,NA
"statecodeKS",0,NA,NA,NA
"statecodeKY",0,NA,NA,NA
"statecodeLA",0,NA,NA,NA
"statecodeMA",0,NA,NA,NA
"statecodeMD",0,NA,NA,NA
"statecodeME",0,NA,NA,NA
"statecodeMI",0,NA,NA,NA
"statecodeMN",0,NA,NA,NA
"statecodeMO",0,NA,NA,NA
"statecodeMS",0,NA,NA,NA
"statecodeMT",0,NA,NA,NA
"statecodeNC",0,NA,NA,NA
"statecodeND",0,NA,NA,NA
"statecodeNE",0,NA,NA,NA
"statecodeNH",0,NA,NA,NA
"statecodeNJ",0,NA,NA,NA
"statecodeNM",0,NA,NA,NA
"statecodeNV",0,NA,NA,NA
"statecodeNY",0,NA,NA,NA
"statecodeOH",0,NA,NA,NA
"statecodeOK",0,NA,NA,NA
"statecodeOR",0,NA,NA,NA
"statecodePA",0,NA,NA,NA
"statecodeRI",0,NA,NA,NA
"statecodeSC",0,NA,NA,NA
"statecodeSD",0,NA,NA,NA
"statecodeTN",0,NA,NA,NA
"statecodeTX",0,NA,NA,NA
"statecodeUT",0,NA,NA,NA
"statecodeVA",0,NA,NA,NA
"statecodeVT",0,NA,NA,NA
"statecodeWA",0,NA,NA,NA
"statecodeWI",0,NA,NA,NA
"statecodeWV",0,NA,NA,NA
"statecodeWY",0,NA,NA,NA
"hw_ind_2d1:statecodeAR",-0.023,0.056,-0.412,0.681
"hw_ind_2d1:statecodeAZ",-0.013,0.057,-0.222,0.825
"hw_ind_2d1:statecodeCA",0.161,0.039,4.088,0
"hw_ind_2d1:statecodeCO",-0.071,0.069,-1.038,0.299
"hw_ind_2d1:statecodeCT",0.155,0.058,2.667,0.008
"hw_ind_2d1:statecodeDC",0.379,0.116,3.257,0.001
"hw_ind_2d1:statecodeDE",0.097,0.111,0.877,0.38
"hw_ind_2d1:statecodeFL",-0.016,0.042,-0.374,0.708
"hw_ind_2d1:statecodeGA",0.041,0.047,0.871,0.384
"hw_ind_2d1:statecodeIA",0.059,0.069,0.861,0.389
"hw_ind_2d1:statecodeID",-0.056,0.107,-0.526,0.599
"hw_ind_2d1:statecodeIL",0.098,0.042,2.344,0.019
"hw_ind_2d1:statecodeIN",-0.068,0.049,-1.384,0.166
"hw_ind_2d1:statecodeKS",-0.062,0.061,-1.018,0.309
"hw_ind_2d1:statecodeKY",0.068,0.052,1.299,0.194
"hw_ind_2d1:statecodeLA",-0.155,0.051,-3.02,0.003
"hw_ind_2d1:statecodeMA",0.408,0.049,8.247,0
"hw_ind_2d1:statecodeMD",0.236,0.052,4.557,0
"hw_ind_2d1:statecodeME",0.514,0.095,5.42,0
"hw_ind_2d1:statecodeMI",0.078,0.045,1.737,0.082
"hw_ind_2d1:statecodeMN",0.025,0.067,0.367,0.713
"hw_ind_2d1:statecodeMO",0.027,0.049,0.561,0.575
"hw_ind_2d1:statecodeMS",-0.126,0.053,-2.382,0.017
"hw_ind_2d1:statecodeMT",0.192,0.11,1.744,0.081
"hw_ind_2d1:statecodeNC",0.14,0.046,3.056,0.002
"hw_ind_2d1:statecodeND",0.032,0.148,0.218,0.828
"hw_ind_2d1:statecodeNE",-0.101,0.088,-1.14,0.254
"hw_ind_2d1:statecodeNH",0.617,0.106,5.808,0
"hw_ind_2d1:statecodeNJ",0.245,0.045,5.416,0
"hw_ind_2d1:statecodeNM",-0.008,0.083,-0.102,0.919
"hw_ind_2d1:statecodeNV",0.001,0.078,0.007,0.995
"hw_ind_2d1:statecodeNY",0.296,0.041,7.221,0
"hw_ind_2d1:statecodeOH",0.136,0.045,3.04,0.002
"hw_ind_2d1:statecodeOK",-0.11,0.052,-2.113,0.035
"hw_ind_2d1:statecodeOR",0.083,0.078,1.068,0.285
"hw_ind_2d1:statecodePA",0.252,0.044,5.719,0
"hw_ind_2d1:statecodeRI",0.332,0.113,2.945,0.003
"hw_ind_2d1:statecodeSC",0.078,0.051,1.537,0.124
"hw_ind_2d1:statecodeSD",-0.095,0.128,-0.741,0.459
"hw_ind_2d1:statecodeTN",0.096,0.049,1.978,0.048
"hw_ind_2d1:statecodeTX",-0.102,0.04,-2.567,0.01
"hw_ind_2d1:statecodeUT",0.018,0.085,0.209,0.834
"hw_ind_2d1:statecodeVA",0.07,0.049,1.436,0.151
"hw_ind_2d1:statecodeVT",0.735,0.158,4.64,0
"hw_ind_2d1:statecodeWA",0.01,0.058,0.179,0.858
"hw_ind_2d1:statecodeWI",0.173,0.056,3.073,0.002
"hw_ind_2d1:statecodeWV",0.023,0.074,0.317,0.751
"hw_ind_2d1:statecodeWY",-0.097,0.122,-0.8,0.423
