"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.071,0.02,3.505,0
"year2001",0.071,0.023,3.161,0.002
"year2002",0.094,0.023,4.08,0
"year2003",-0.042,0.024,-1.751,0.08
"year2004",-0.015,0.042,-0.361,0.718
"year2005",-0.109,0.045,-2.399,0.016
"year2006",-0.25,0.046,-5.414,0
"year2007",-0.299,0.035,-8.607,0
"year2008",-0.276,0.04,-6.956,0
"year2009",-0.403,0.027,-14.803,0
"year2010",-0.377,0.021,-18.269,0
"year2011",-0.5,0.02,-25.04,0
"year2012",-0.622,0.02,-30.867,0
"year2013",-0.727,0.02,-36.444,0
"year2014",-0.814,0.019,-42.123,0
"year2015",-0.762,0.02,-38.373,0
"year2016",-0.85,0.021,-40.123,0
"hw_ind_2d1:year2001",0.026,0.029,0.89,0.374
"hw_ind_2d1:year2002",-0.028,0.03,-0.954,0.34
"hw_ind_2d1:year2003",0.046,0.031,1.512,0.131
"hw_ind_2d1:year2004",-0.07,0.046,-1.525,0.127
"hw_ind_2d1:year2005",-0.039,0.049,-0.792,0.428
"hw_ind_2d1:year2006",0.089,0.05,1.774,0.076
"hw_ind_2d1:year2007",0.082,0.04,2.064,0.039
"hw_ind_2d1:year2008",-0.037,0.045,-0.827,0.408
"hw_ind_2d1:year2009",0.085,0.034,2.511,0.012
"hw_ind_2d1:year2010",0.014,0.03,0.471,0.638
"hw_ind_2d1:year2011",0.067,0.029,2.312,0.021
"hw_ind_2d1:year2012",0.092,0.03,3.082,0.002
"hw_ind_2d1:year2013",0.076,0.03,2.542,0.011
"hw_ind_2d1:year2014",0.02,0.031,0.632,0.527
"hw_ind_2d1:year2015",-0.026,0.031,-0.84,0.401
"hw_ind_2d1:year2016",-0.037,0.033,-1.133,0.257
