"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.087,0.004,21.982,0
"year2001",0.056,0.009,5.99,0
"year2002",0.104,0.009,11.033,0
"year2003",-0.015,0.009,-1.614,0.107
"year2004",-0.09,0.01,-9.126,0
"year2005",-0.13,0.01,-12.59,0
"year2006",-0.225,0.011,-20.111,0
"year2007",-0.238,0.011,-21.759,0
"year2008",-0.291,0.012,-25.239,0
"year2009",-0.318,0.011,-28.32,0
"year2010",-0.346,0.011,-31.655,0
"year2011",-0.462,0.011,-41.308,0
"year2012",-0.563,0.011,-50.169,0
"year2013",-0.693,0.011,-61.516,0
"year2014",-0.762,0.011,-66.98,0
"year2015",-0.745,0.011,-67.239,0
"year2016",-0.855,0.012,-73.913,0
"dow2",0.422,0.008,55.186,0
"dow3",0.388,0.008,50.859,0
"dow4",0.333,0.008,42.917,0
"dow5",0.318,0.008,40.607,0
"dow6",0.342,0.008,43.521,0
"dow7",0.054,0.008,6.346,0
