"","Estimate","Std. Error","t value","Pr(>|t|)"
"hw_ind_2d1",0.073,0.027,2.645,0.008
"year2001",0.042,0.013,3.16,0.002
"year2002",0.123,0.013,9.259,0
"year2003",-0.015,0.012,-1.213,0.225
"year2004",-0.091,0.014,-6.56,0
"year2005",-0.135,0.016,-8.554,0
"year2006",-0.271,0.019,-14.198,0
"year2007",-0.233,0.017,-13.491,0
"year2008",-0.293,0.019,-15.551,0
"year2009",-0.339,0.017,-19.571,0
"year2010",-0.351,0.016,-22.405,0
"year2011",-0.505,0.017,-30.529,0
"year2012",-0.596,0.016,-37.095,0
"year2013",-0.718,0.016,-46.055,0
"year2014",-0.756,0.015,-50.218,0
"year2015",-0.733,0.015,-49.996,0
"year2016",-0.85,0.015,-56.334,0
"dow2",0.422,0.008,55.159,0
"dow3",0.387,0.008,50.788,0
"dow4",0.333,0.008,42.884,0
"dow5",0.318,0.008,40.628,0
"dow6",0.342,0.008,43.494,0
"dow7",0.054,0.008,6.378,0
"statecodeAR",0,NA,NA,NA
"statecodeAZ",0,NA,NA,NA
"statecodeCA",0,NA,NA,NA
"statecodeCO",0,NA,NA,NA
"statecodeCT",0,NA,NA,NA
"statecodeDC",0,NA,NA,NA
"statecodeDE",0,NA,NA,NA
"statecodeFL",0,NA,NA,NA
"statecodeGA",0,NA,NA,NA
"statecodeIA",0,NA,NA,NA
"statecodeID",0,NA,NA,NA
"statecodeIL",0,NA,NA,NA
"statecodeIN",0,NA,NA,NA
"statecodeKS",0,NA,NA,NA
"statecodeKY",0,NA,NA,NA
"statecodeLA",0,NA,NA,NA
"statecodeMA",0,NA,NA,NA
"statecodeMD",0,NA,NA,NA
"statecodeME",0,NA,NA,NA
"statecodeMI",0,NA,NA,NA
"statecodeMN",0,NA,NA,NA
"statecodeMO",0,NA,NA,NA
"statecodeMS",0,NA,NA,NA
"statecodeMT",0,NA,NA,NA
"statecodeNC",0,NA,NA,NA
"statecodeND",0,NA,NA,NA
"statecodeNE",0,NA,NA,NA
"statecodeNH",0,NA,NA,NA
"statecodeNJ",0,NA,NA,NA
"statecodeNM",0,NA,NA,NA
"statecodeNV",0,NA,NA,NA
"statecodeNY",0,NA,NA,NA
"statecodeOH",0,NA,NA,NA
"statecodeOK",0,NA,NA,NA
"statecodeOR",0,NA,NA,NA
"statecodePA",0,NA,NA,NA
"statecodeRI",0,NA,NA,NA
"statecodeSC",0,NA,NA,NA
"statecodeSD",0,NA,NA,NA
"statecodeTN",0,NA,NA,NA
"statecodeTX",0,NA,NA,NA
"statecodeUT",0,NA,NA,NA
"statecodeVA",0,NA,NA,NA
"statecodeVT",0,NA,NA,NA
"statecodeWA",0,NA,NA,NA
"statecodeWI",0,NA,NA,NA
"statecodeWV",0,NA,NA,NA
"statecodeWY",0,NA,NA,NA
"hw_ind_2d1:year2001",0.029,0.019,1.554,0.12
"hw_ind_2d1:year2002",-0.035,0.019,-1.84,0.066
"hw_ind_2d1:year2003",-0.001,0.019,-0.072,0.942
"hw_ind_2d1:year2004",0.005,0.02,0.235,0.815
"hw_ind_2d1:year2005",0.007,0.021,0.341,0.733
"hw_ind_2d1:year2006",0.068,0.024,2.858,0.004
"hw_ind_2d1:year2007",-0.007,0.023,-0.302,0.762
"hw_ind_2d1:year2008",0.008,0.024,0.317,0.751
"hw_ind_2d1:year2009",0.034,0.023,1.5,0.134
"hw_ind_2d1:year2010",0.013,0.022,0.596,0.551
"hw_ind_2d1:year2011",0.075,0.023,3.304,0.001
"hw_ind_2d1:year2012",0.063,0.023,2.777,0.005
"hw_ind_2d1:year2013",0.054,0.023,2.411,0.016
"hw_ind_2d1:year2014",-0.015,0.023,-0.656,0.512
"hw_ind_2d1:year2015",-0.033,0.022,-1.461,0.144
"hw_ind_2d1:year2016",-0.015,0.024,-0.649,0.517
"hw_ind_2d1:statecodeAR",0.01,0.04,0.239,0.811
"hw_ind_2d1:statecodeAZ",0.011,0.041,0.27,0.787
"hw_ind_2d1:statecodeCA",0.045,0.028,1.631,0.103
"hw_ind_2d1:statecodeCO",0.019,0.052,0.374,0.709
"hw_ind_2d1:statecodeCT",0.087,0.04,2.173,0.03
"hw_ind_2d1:statecodeDC",0.003,0.075,0.037,0.97
"hw_ind_2d1:statecodeDE",-0.122,0.073,-1.661,0.097
"hw_ind_2d1:statecodeFL",-0.056,0.029,-1.912,0.056
"hw_ind_2d1:statecodeGA",-0.05,0.033,-1.522,0.128
"hw_ind_2d1:statecodeIA",-0.012,0.047,-0.251,0.802
"hw_ind_2d1:statecodeID",-0.047,0.078,-0.597,0.551
"hw_ind_2d1:statecodeIL",0.029,0.029,0.972,0.331
"hw_ind_2d1:statecodeIN",-0.088,0.035,-2.532,0.011
"hw_ind_2d1:statecodeKS",0.031,0.044,0.712,0.476
"hw_ind_2d1:statecodeKY",-0.053,0.036,-1.457,0.145
"hw_ind_2d1:statecodeLA",-0.065,0.036,-1.834,0.067
"hw_ind_2d1:statecodeMA",0.11,0.034,3.228,0.001
"hw_ind_2d1:statecodeMD",-0.031,0.035,-0.883,0.377
"hw_ind_2d1:statecodeME",0.141,0.062,2.281,0.023
"hw_ind_2d1:statecodeMI",-0.025,0.032,-0.791,0.429
"hw_ind_2d1:statecodeMN",-0.034,0.045,-0.75,0.453
"hw_ind_2d1:statecodeMO",0.004,0.034,0.131,0.896
"hw_ind_2d1:statecodeMS",-0.061,0.037,-1.645,0.1
"hw_ind_2d1:statecodeMT",0.125,0.078,1.6,0.11
"hw_ind_2d1:statecodeNC",-0.004,0.032,-0.139,0.89
"hw_ind_2d1:statecodeND",0.021,0.099,0.213,0.831
"hw_ind_2d1:statecodeNE",-0.036,0.063,-0.573,0.567
"hw_ind_2d1:statecodeNH",0.17,0.071,2.399,0.016
"hw_ind_2d1:statecodeNJ",0.014,0.031,0.461,0.645
"hw_ind_2d1:statecodeNM",0.01,0.059,0.167,0.868
"hw_ind_2d1:statecodeNV",0.054,0.058,0.938,0.348
"hw_ind_2d1:statecodeNY",0.08,0.028,2.848,0.004
"hw_ind_2d1:statecodeOH",-0.01,0.031,-0.334,0.739
"hw_ind_2d1:statecodeOK",-0.032,0.037,-0.855,0.392
"hw_ind_2d1:statecodeOR",-0.006,0.056,-0.11,0.912
"hw_ind_2d1:statecodePA",0.057,0.03,1.908,0.056
"hw_ind_2d1:statecodeRI",-0.042,0.073,-0.577,0.564
"hw_ind_2d1:statecodeSC",-0.036,0.036,-1.001,0.317
"hw_ind_2d1:statecodeSD",0.055,0.093,0.588,0.557
"hw_ind_2d1:statecodeTN",-0.053,0.034,-1.586,0.113
"hw_ind_2d1:statecodeTX",-0.039,0.028,-1.384,0.166
"hw_ind_2d1:statecodeUT",0,0.065,0.002,0.999
"hw_ind_2d1:statecodeVA",-0.034,0.034,-0.993,0.321
"hw_ind_2d1:statecodeVT",0.262,0.107,2.452,0.014
"hw_ind_2d1:statecodeWA",0.077,0.041,1.858,0.063
"hw_ind_2d1:statecodeWI",0.094,0.039,2.4,0.016
"hw_ind_2d1:statecodeWV",-0.131,0.05,-2.602,0.009
"hw_ind_2d1:statecodeWY",-0.022,0.095,-0.234,0.815
